      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242184E+07 0.246044E+07 0.243792E+07
    0.0500 0.242838E+07 0.244971E+07 0.243960E+07
    0.0750 0.243287E+07 0.244252E+07 0.244158E+07
    0.1000 0.243946E+07 0.243301E+07 0.244318E+07
    0.1250 0.244921E+07 0.242074E+07 0.244271E+07
    0.1500 0.246136E+07 0.240716E+07 0.243992E+07
    0.1750 0.247538E+07 0.239403E+07 0.243363E+07
    0.2000 0.248959E+07 0.238285E+07 0.242463E+07
    0.2250 0.250248E+07 0.237482E+07 0.241403E+07
    0.2500 0.251291E+07 0.236986E+07 0.240335E+07
    0.2750 0.251934E+07 0.236802E+07 0.239492E+07
    0.3000 0.252149E+07 0.236829E+07 0.238993E+07
    0.3250 0.251903E+07 0.237015E+07 0.238950E+07
    0.3500 0.251212E+07 0.237329E+07 0.239379E+07
    0.3750 0.250195E+07 0.237732E+07 0.240146E+07
    0.4000 0.248951E+07 0.238253E+07 0.241094E+07
    0.4250 0.247617E+07 0.238916E+07 0.242013E+07
    0.4500 0.246340E+07 0.239715E+07 0.242702E+07
    0.4750 0.245263E+07 0.240600E+07 0.243011E+07
    0.5000 0.244451E+07 0.241519E+07 0.242914E+07
    0.5250 0.243972E+07 0.242348E+07 0.242444E+07
    0.5500 0.243821E+07 0.242981E+07 0.241715E+07
    0.5750 0.243959E+07 0.243329E+07 0.240891E+07
    0.6000 0.244308E+07 0.243362E+07 0.240114E+07
    0.6250 0.244781E+07 0.243115E+07 0.239485E+07
    0.6500 0.245269E+07 0.242698E+07 0.239054E+07
    0.6750 0.245685E+07 0.242272E+07 0.238788E+07
    0.7000 0.245938E+07 0.242017E+07 0.238649E+07
    0.7250 0.246004E+07 0.242059E+07 0.238553E+07
    0.7500 0.245924E+07 0.242422E+07 0.238418E+07
    0.7750 0.245766E+07 0.243029E+07 0.238229E+07
    0.8000 0.245690E+07 0.243670E+07 0.237953E+07
    0.8250 0.245859E+07 0.244088E+07 0.237610E+07
    0.8500 0.246435E+07 0.244032E+07 0.237207E+07
    0.8750 0.247543E+07 0.243331E+07 0.236715E+07
    0.9000 0.249220E+07 0.241954E+07 0.236099E+07
    0.9250 0.251421E+07 0.240015E+07 0.235289E+07
    0.9500 0.254014E+07 0.237767E+07 0.234208E+07
    0.9750 0.256788E+07 0.235520E+07 0.232843E+07
    1.0000 0.259484E+07 0.233592E+07 0.231239E+07
    1.0250 0.261847E+07 0.232224E+07 0.229519E+07
    1.0500 0.263643E+07 0.231539E+07 0.227896E+07
    1.0750 0.264724E+07 0.231527E+07 0.226596E+07
    1.1000 0.265014E+07 0.232073E+07 0.225844E+07
    1.1250 0.264556E+07 0.232986E+07 0.225776E+07
    1.1500 0.263490E+07 0.234059E+07 0.226412E+07
    1.1750 0.262025E+07 0.235118E+07 0.227631E+07
    1.2000 0.260441E+07 0.236034E+07 0.229171E+07
    1.2250 0.259008E+07 0.236753E+07 0.230711E+07
    1.2500 0.257986E+07 0.237246E+07 0.231914E+07
    1.2750 0.257564E+07 0.237520E+07 0.232514E+07
    1.3000 0.257845E+07 0.237565E+07 0.232374E+07
