      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242196E+07 0.246030E+07 0.243784E+07
    0.0500 0.242841E+07 0.244962E+07 0.243955E+07
    0.0750 0.243280E+07 0.244254E+07 0.244159E+07
    0.1000 0.243926E+07 0.243312E+07 0.244325E+07
    0.1250 0.244881E+07 0.242101E+07 0.244291E+07
    0.1500 0.246084E+07 0.240752E+07 0.244014E+07
    0.1750 0.247470E+07 0.239447E+07 0.243397E+07
    0.2000 0.248863E+07 0.238353E+07 0.242518E+07
    0.2250 0.250145E+07 0.237553E+07 0.241463E+07
    0.2500 0.251155E+07 0.237089E+07 0.240425E+07
    0.2750 0.251793E+07 0.236914E+07 0.239585E+07
    0.3000 0.252002E+07 0.236955E+07 0.239089E+07
    0.3250 0.251751E+07 0.237155E+07 0.239055E+07
    0.3500 0.251068E+07 0.237476E+07 0.239474E+07
    0.3750 0.250038E+07 0.237902E+07 0.240252E+07
    0.4000 0.248788E+07 0.238438E+07 0.241206E+07
    0.4250 0.247448E+07 0.239110E+07 0.242129E+07
    0.4500 0.246159E+07 0.239916E+07 0.242835E+07
    0.4750 0.245045E+07 0.240824E+07 0.243178E+07
    0.5000 0.244209E+07 0.241745E+07 0.243103E+07
    0.5250 0.243673E+07 0.242599E+07 0.242678E+07
    0.5500 0.243456E+07 0.243259E+07 0.241999E+07
    0.5750 0.243518E+07 0.243636E+07 0.241220E+07
    0.6000 0.243762E+07 0.243716E+07 0.240508E+07
    0.6250 0.244108E+07 0.243526E+07 0.239949E+07
    0.6500 0.244446E+07 0.243176E+07 0.239600E+07
    0.6750 0.244684E+07 0.242830E+07 0.239436E+07
    0.7000 0.244738E+07 0.242668E+07 0.239402E+07
    0.7250 0.244583E+07 0.242804E+07 0.239429E+07
    0.7500 0.244250E+07 0.243276E+07 0.239439E+07
    0.7750 0.243832E+07 0.243996E+07 0.239387E+07
    0.8000 0.243466E+07 0.244761E+07 0.239274E+07
    0.8250 0.243332E+07 0.245313E+07 0.239093E+07
    0.8500 0.243591E+07 0.245399E+07 0.238859E+07
    0.8750 0.244364E+07 0.244853E+07 0.238545E+07
    0.9000 0.245700E+07 0.243636E+07 0.238108E+07
    0.9250 0.247551E+07 0.241874E+07 0.237474E+07
    0.9500 0.249790E+07 0.239804E+07 0.236577E+07
    0.9750 0.252213E+07 0.237739E+07 0.235391E+07
    1.0000 0.254567E+07 0.235995E+07 0.233961E+07
    1.0250 0.256606E+07 0.234797E+07 0.232409E+07
    1.0500 0.258106E+07 0.234268E+07 0.230936E+07
    1.0750 0.258913E+07 0.234398E+07 0.229778E+07
    1.1000 0.258974E+07 0.235059E+07 0.229144E+07
    1.1250 0.258326E+07 0.236061E+07 0.229169E+07
    1.1500 0.257099E+07 0.237210E+07 0.229878E+07
    1.1750 0.255507E+07 0.238323E+07 0.231150E+07
    1.2000 0.253815E+07 0.239283E+07 0.232731E+07
    1.2250 0.252294E+07 0.240029E+07 0.234306E+07
    1.2500 0.251187E+07 0.240549E+07 0.235541E+07
    1.2750 0.250688E+07 0.240834E+07 0.236174E+07
    1.3000 0.250893E+07 0.240888E+07 0.236067E+07
