      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3
       (s)        (N)        (N)        (N)
    0.0000 0.243667E+07 0.243671E+07 0.243671E+07
    0.0250 0.242196E+07 0.246035E+07 0.243789E+07
    0.0500 0.242836E+07 0.244975E+07 0.243956E+07
    0.0750 0.243274E+07 0.244264E+07 0.244167E+07
    0.1000 0.243921E+07 0.243322E+07 0.244333E+07
    0.1250 0.244873E+07 0.242121E+07 0.244299E+07
    0.1500 0.246082E+07 0.240757E+07 0.244029E+07
    0.1750 0.247472E+07 0.239455E+07 0.243408E+07
    0.2000 0.248860E+07 0.238366E+07 0.242541E+07
    0.2250 0.250149E+07 0.237566E+07 0.241486E+07
    0.2500 0.251160E+07 0.237107E+07 0.240454E+07
    0.2750 0.251785E+07 0.236953E+07 0.239629E+07
    0.3000 0.251980E+07 0.237015E+07 0.239149E+07
    0.3250 0.251720E+07 0.237234E+07 0.239123E+07
    0.3500 0.251018E+07 0.237579E+07 0.239564E+07
    0.3750 0.249989E+07 0.238009E+07 0.240343E+07
    0.4000 0.248711E+07 0.238568E+07 0.241326E+07
    0.4250 0.247344E+07 0.239254E+07 0.242278E+07
    0.4500 0.246025E+07 0.240072E+07 0.243007E+07
    0.4750 0.244866E+07 0.240992E+07 0.243388E+07
    0.5000 0.243972E+07 0.241930E+07 0.243351E+07
    0.5250 0.243363E+07 0.242802E+07 0.242965E+07
    0.5500 0.243033E+07 0.243502E+07 0.242352E+07
    0.5750 0.242956E+07 0.243932E+07 0.241651E+07
    0.6000 0.243031E+07 0.244078E+07 0.241027E+07
    0.6250 0.243166E+07 0.243973E+07 0.240588E+07
    0.6500 0.243268E+07 0.243727E+07 0.240361E+07
    0.6750 0.243219E+07 0.243514E+07 0.240353E+07
    0.7000 0.242959E+07 0.243498E+07 0.240491E+07
    0.7250 0.242470E+07 0.243799E+07 0.240691E+07
    0.7500 0.241787E+07 0.244443E+07 0.240884E+07
    0.7750 0.241020E+07 0.245327E+07 0.241014E+07
    0.8000 0.240311E+07 0.246248E+07 0.241068E+07
    0.8250 0.239818E+07 0.246967E+07 0.241074E+07
    0.8500 0.239731E+07 0.247207E+07 0.241013E+07
    0.8750 0.240173E+07 0.246797E+07 0.240865E+07
    0.9000 0.241165E+07 0.245733E+07 0.240602E+07
    0.9250 0.242686E+07 0.244111E+07 0.240136E+07
    0.9500 0.244585E+07 0.242196E+07 0.239413E+07
    0.9750 0.246659E+07 0.240301E+07 0.238409E+07
    1.0000 0.248651E+07 0.238745E+07 0.237171E+07
    1.0250 0.250328E+07 0.237748E+07 0.235815E+07
    1.0500 0.251475E+07 0.237420E+07 0.234539E+07
    1.0750 0.251947E+07 0.237746E+07 0.233571E+07
    1.1000 0.251713E+07 0.238578E+07 0.233111E+07
    1.1250 0.250814E+07 0.239727E+07 0.233295E+07
    1.1500 0.249406E+07 0.240970E+07 0.234123E+07
    1.1750 0.247717E+07 0.242124E+07 0.235464E+07
    1.2000 0.246008E+07 0.243069E+07 0.237066E+07
    1.2250 0.244551E+07 0.243750E+07 0.238603E+07
    1.2500 0.243577E+07 0.244160E+07 0.239756E+07
    1.2750 0.243260E+07 0.244310E+07 0.240265E+07
    1.3000 0.243676E+07 0.244207E+07 0.240013E+07
